Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
Shreeji Splendor ,Brahmand Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,540,12222,0,1,1,66,77647.05882
Unnamed Property,B 403 gulmohar Chs opp To Shivai School near Nahur Railway Station East Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,635,15748,4,2,1,100,117647.0588
Arihant Anmol ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,635,3937,1,1,1,25,29411.76471
Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,350,20571,1,1,1,72,84705.88235
Unnamed Property,Sector 19 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,340,16470,3,1,1,56,65882.35294
Unnamed Property,Gorai 2 Mumbai,Gorai Mumbai,10+ Year,Ready To Move,Super Built Up Area,1125,16000,2,2,2,180,211764.7059
Sumit Woods Sharda Sahaniwas ,B 603 Borivali East Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1025,15121,6,2,2,155,182352.9412
K Raheja Paradise Apartment ,Raheja Vihar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1535,24104,11,3,3,370,435294.1176
Unnamed Property,Indralok Phase 2 Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,512,12207,3,1,2,62.5,73529.41176
Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,2500,21000,12,5,5,525,617647.0588
Unnamed Property,Plot No 14 Sector 21 Ghansoli Navi Mumbai Maharashtra 400701 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1040,12500,1,2,2,130,152941.1765
Unnamed Property,Dhokali Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,730,10273,2,2,2,75,88235.29412
Unnamed Property,Opposite Archarya Collage Near Freeway Chembur Mumbai 400071 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Built Up Area,575,25000,17,1,2,125,147058.8235
Unnamed Property,B 407 Raghunath Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,660,12878,3,1,1,70,82352.94118
Unnamed Property,Kalbadevi Kalbadevi South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,400,47500,9,1,1,190,223529.4118
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Carpet Area,440,7272,3,1,1,32,37647.05882
Unnamed Property,C 706 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1070,6448,7,2,2,69,81176.47059
Ashok Vihar ,C 001 Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,835,26168,0,2,2,140,164705.8824
Unnamed Property,2303 Solitaire A Wing Near Everest World Kolshet Road 400607 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,650,11230,23,1,2,73,85882.35294
Vision Phoenix Heights ,Kalamboli Roadpali Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,810,7654,10,1,1,62,72941.17647
Unnamed Property,Kalina Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,3822,28780,2,6,4,1100,1294117.647
Lodha Enchante ,Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,463,33477,15,1,1,155,182352.9412
Vardhaman Vatika Vasind ,Vasind Mumbai Beyond Thane Mumbai,Vasind Mumbai,1 to 5 Year,Ready To Move,Built Up Area,854,3747,1,2,2,32,37647.05882
Unnamed Property,Ramdev Park Ramdev Park Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Plot Area,3000,18666,4,6,7,560,658823.5294
Arihant Anshula ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1082,4621,4,2,2,50,58823.52941
Unnamed Property,Kopargaon Mumbai Beyond Thane Mumbai,Kopargaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,419,10023,1,1,1,42,49411.76471
Chandak Sparkling Wings ,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,404,21783,18,1,2,83,97647.05882
Emgee Greens ,Wadala Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,1075,16744,3,2,2,180,211764.7059
Romell Shraddha ,401 And 402 IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1804,27716,4,6,3,500,588235.2941
Unnamed Property,Saki Vihar Road Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1370,25547,1,3,3,350,411764.7059
Unnamed Property,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Plot Area,210,247619,4,5,4,520,611764.7059
Lodha Luxuria ,Ffb 2301 Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Carpet Area,804,21019,23,2,2,169,198823.5294
Ekta Parksville ,Lincoln Park D 201 Virar West Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Carpet Area,667,7196,2,2,2,48,56470.58824
Lifescapes Mirage ,Matunga West South Mumbai Mumbai,Matunga Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1265,45103,5,2,2,350,411764.7059
Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1012,19763,1,2,2,195,229411.7647
Unnamed Property,A Wing 101 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,1070,16355,1,3,2,160,188235.2941
Krishna Vatika CHS ,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,900,16111,7,2,2,145,170588.2353
Vastu Aarav Heights ,Dombivli West Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,370,7973,7,1,1,29.5,34705.88235
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,435,18390,5,1,1,80,94117.64706
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,585,12820,7,2,2,75,88235.29412
Unnamed Property,Virar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,765,6013,11,1,2,46,54117.64706
Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Carpet Area,989,17189,20,3,3,170,200000
Tata Amantra ,H 043 Avhani Tower Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1017,6391,4,2,1,65,76470.58824
RNA NG Regency ,Thane Bhiwandi Road Next To Dosti West County Balkum Thane Mumbai,Balkum Thane,5 to 10 Year,Ready To Move,Super Built Up Area,672,7872,3,1,1,52,61176.47059
Unnamed Property,102 Sector 8 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,950,10526,1,2,2,100,117647.0588
Goodbuild Shepherd Residency ,1601 A Wing Mitha Nagar Mumbai,Mitha Nagar Mumbai,10+ Year,Ready To Move,Super Built Up Area,855,18713,16,2,2,160,188235.2941
Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Carpet Area,1400,22142,11,3,3,310,364705.8824
Unnamed Property,Sindhu Wadi Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2125,28235,3,4,4,585,688235.2941
Serenity Heights ,Marol Mumbai,Marol Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1113,29649,2,3,3,330,388235.2941
Riddhi Siddhi CHS ,504 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,610,17213,5,1,2,105,123529.4118
Lodha Amara ,Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,557,15978,21,2,2,89,104705.8824
Vakratunda Palace ,B 1104 vakratunda Palace tank Road bhandup West Valmiki Nagar Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,678,24337,11,2,2,165,194117.6471
Unnamed Property,Santacruz West Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,960,59895,9,3,3,575,676470.5882
Ganraj Beauty Landmark ,Bhandup West Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,367,21799,19,1,1,80,94117.64706
Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,1071,7937,17,2,1,85,100000
Unnamed Property,In Front Of D Mart Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,420,17857,4,1,2,75,88235.29412
Rohan Lifescapes Amrut Wadi ,183 Girgaum South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,410,44561,18,1,1,183,215294.1176
Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,700,47142,9,2,2,330,388235.2941
Unnamed Property,Dadar West South Mumbai Mumbai,Dadar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1400,31428,3,4,3,440,517647.0588
Unnamed Property,Bhakti Mandir Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,757,19815,3,2,2,150,176470.5882
MICL Aaradhya Highpark ,Mira Road Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Carpet Area,630,21904,1,2,2,138,162352.9412
Unnamed Property,C401 Muthaval Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,643,6414,4,1,1,39,45882.35294
Sark Park View ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,550,8909,5,1,2,49,57647.05882
Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,6190,4,2,2,65,76470.58824
Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,503,15806,0,1,1,79.5,93529.41176
Balaji Symphony ,New Panvel New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,805,8695,21,1,1,70,82352.94118
Unnamed Property,Near Vandana Godavari Building Versova Mumbai,Verosva Mumbai,10+ Year,Ready To Move,Built Up Area,970,20834,1,2,2,215,252941.1765
Unnamed Property,Sector 16 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,500,13000,4,1,1,65,76470.58824
Unnamed Property,302 A3 Shree Datta Nagari Kalher Thane Mumbai,Kalher Thane,1 to 5 Year,Ready To Move,Built Up Area,720,3055,3,1,1,22,25882.35294
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000,8000,5,2,2,80,94117.64706
Wellwisher Town ,Khopoli Mumbai Beyond Thane Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1000,7000,8,2,2,42,49411.76471
Unnamed Property,Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,913,9309,1,2,2,85,100000
Unnamed Property,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,610,20819,12,2,2,127,149411.7647
Unnamed Property,102 Vakola Mumbai South West Mumbai,Vakola Mumbai,10+ Year,Ready To Move,Carpet Area,450,27777,1,2,2,125,147058.8235
Unnamed Property,Sector 24 Sector 24 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,575,6434,1,1,2,37,43529.41176
Unnamed Property,C15 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,350,9714,3,1,1,34,40000
Unnamed Property,C 5 d 4 Lokmanya Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,350,14285,0,1,1,50,58823.52941
Unnamed Property,Virar West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,590,4746,3,1,1,28,32941.17647
Triveni Ultima Bliss ,1504 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,758,7519,15,1,2,60,70588.23529
Unnamed Property,005 Chipale Navi Mumbai Mumbai,Chipale Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950,6315,0,2,2,54,63529.41176
Unnamed Property,Old Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,750,12553,3,1,1,59,69411.76471
Sai Sastha Crystal ,1606 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,337,20771,16,1,1,70,82352.94118
CGEWHO Kendriya Vihar ,C 7 11 Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1200,9916,3,3,2,119,140000
Mehek CHS ,Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,545,16513,5,2,2,90,105882.3529
Marathon Nexzone ,Altis New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,866,8083,6,2,2,70,82352.94118
Mittal Tower CHS ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,647,18547,4,2,2,120,141176.4706
Lodha Regency ,Y401 Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Built Up Area,835,7878,4,2,2,58,68235.29412
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Built Up Area,740,7162,1,2,2,53,62352.94118
Unnamed Property,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,540,5555,4,1,1,30,35294.11765
Lodha Eternis ,Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,854,31030,5,2,2,265,311764.7059
Gitanjali Tatva ,Borivali East Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1350,20370,14,3,2,275,323529.4118
Kohinoor Majestic ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,Under Construction,Under Construction,Built Up Area,725,6896,15,1,2,50,58823.52941
MM Spectra ,1506 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1496,12032,15,2,2,180,211764.7059
