Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,1.05 Crore,11797,Super Built Up Area,2,2,14,0 to 1 Year,Ready To Move,890,Ghansoli Navi-Mumbai,105,19.1295931,72.99682636,1235.294118
City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,1.07 Crore,10700,Super Built Up Area,2,2,9,1 to 5 Year,Ready To Move,1000,Ghansoli Navi-Mumbai,107,19.1295931,72.99682636,1258.823529
Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,1.9 Crore,12101,Built Up Area,3,3,7,0 to 1 Year,Ready To Move,1570,Ghansoli Navi-Mumbai,190,19.1229321,72.99130752,2235.294118
SD Alpine ,Kandivali East Mumbai,2.75 Crore,30623,Carpet Area,3,2,2,1 to 5 Year,Ready To Move,898,Kandivali Mumbai,275,19.2103809,72.8640837,3235.294118
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,1.4 Crore,11666,Super Built Up Area,2,2,25,0 to 1 Year,Ready To Move,1200,Balkum Thane,140,19.2257758,72.9877406,1647.058824
Unnamed Property,3333 Kolshet Road Thane Mumbai,75 Lac,8823,Super Built Up Area,1,2,23,1 to 5 Year,Ready To Move,850,Road Thane,75,19.2326261,72.9875274,882.3529412
Siddhi Highland Gardens ,1111 Dhokali Thane Mumbai,77 Lac,10845,Built Up Area,1,2,3,1 to 5 Year,Ready To Move,710,Dhokali Thane,77,19.2260682,72.9798438,905.8823529
Unnamed Property,2222 Thane West Thane Mumbai,1.8 Crore,9729,Super Built Up Area,4,3,20,5 to 10 Year,Ready To Move,1850,Thane Thane,180,19.03160615,73.0142513,2117.647059
Everest World Aspen ,222 Thane West Thane Mumbai,1.15 Crore,10952,Super Built Up Area,2,2,11,5 to 10 Year,Ready To Move,1050,Thane Thane,115,19.03160615,73.0142513,1352.941176
Sheth Avalon ,A 110 Laxmi Nagar Thane Mumbai,1.71 Crore,13163,Super Built Up Area,2,2,14,0 to 1 Year,Ready To Move,1299,Nagar Thane,171,19.21861135,72.96019481,2011.764706
Omkar Alta Monte ,Malad East Mumbai,2.4 Crore,26086,Carpet Area,2,2,20,1 to 5 Year,Ready To Move,920,Malad Mumbai,240,19.1860219,72.8563181,2823.529412
Ashar Sapphire And Galleria ,1111 Thane West Thane Mumbai,2.3 Crore,24210,Super Built Up Area,3,3,26,0 to 1 Year,Ready To Move,1250,Thane Thane,230,19.02601135,73.01016708,2705.882353
Unnamed Property,1111 Kolshet Road Thane Mumbai,1.75 Crore,12068,Super Built Up Area,3,2,15,1 to 5 Year,Ready To Move,1450,Road Thane,175,19.2326261,72.9875274,2058.823529
Lodha Luxuria ,Majiwada Thane Mumbai,1.35 Crore,11065,Super Built Up Area,2,2,22,5 to 10 Year,Ready To Move,1220,Majiwada Thane,135,19.2000627,72.9666732,1588.235294
Bhagwati Bellavista 2 ,Ulwe Navi Mumbai Mumbai,50 Lac,7246,Super Built Up Area,1,2,2,0 to 1 Year,Ready To Move,690,Ulwe Navi-Mumbai,50,18.97686135,73.02013111,588.2352941
Acme Ozone ,Manpada Thane Mumbai,1.21 Crore,12051,Built Up Area,2,2,17,5 to 10 Year,Ready To Move,1004,Manpada Thane,121,19.2353185,72.9759496,1423.529412
Lokhandwala Riviera Tower ,Lokhandwala Kandivali East Mumbai,1.67 Crore,16700,Super Built Up Area,2,2,20,10+ Year,Ready To Move,1000,Lokhandwala Kandivali,167,19.198814,72.8730296,1964.705882
Unnamed Property,Ghansoli Navi Mumbai Mumbai,1.25 Crore,17857,Carpet Area,2,2,9,1 to 5 Year,Ready To Move,700,Ghansoli Navi-Mumbai,125,19.1193307,72.9995096,1470.588235
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,1.9 Crore,13314,Super Built Up Area,2,2,24,0 to 1 Year,Ready To Move,1427,Ghansoli Navi-Mumbai,190,19.1193307,72.9995096,2235.294118
Nahar Lilium Lantana ,Andheri East Mumbai,2.34 Crore,18720,Built Up Area,2,2,21,5 to 10 Year,Ready To Move,1250,Andheri Mumbai,234,19.1158835,72.854202,2752.941176
Paradigm EL Signora ,Oshiwara Mumbai,2.22 Crore,26117,Super Built Up Area,2,2,7,0 to 1 Year,Ready To Move,850,Oshiwara Mumbai,222,19.1502437,72.8342294,2611.764706
Satyam Imperial Heights ,Ghansoli Navi Mumbai Mumbai,5.55 Crore,23125,Carpet Area,4,4,39,1 to 5 Year,Ready To Move,2400,Ghansoli Navi-Mumbai,555,19.1193307,72.9995096,6529.411765
White City ,Kandivali East Mumbai,1.2 Crore,26086,Carpet Area,1,2,9,0 to 1 Year,Ready To Move,460,Kandivali Mumbai,120,19.2103809,72.8640837,1411.764706
Lodha Fiorenza ,Goregaon East Mumbai,3.8 Crore,3170,Carpet Area,3,3,22,10+ Year,Ready To Move,11986,Goregaon Mumbai,380,19.1692623,72.8552548,4470.588235
Unnamed Property,Sector 36 Seawoods Navi Mumbai Mumbai,70 Lac,12389,Built Up Area,1,1,1,5 to 10 Year,Ready To Move,565,Seawoods Navi-Mumbai,70,19.01371895,73.00999035,823.5294118
Bhakti Aura ,Ulwe Navi Mumbai Mumbai,60 Lac,8955,Built Up Area,1,1,5,0 to 1 Year,Ready To Move,670,Ulwe Navi-Mumbai,60,18.97686135,73.02013111,705.8823529
Satelite Royal ,Goregaon East Mumbai,2.15 Crore,20476,Super Built Up Area,2,2,15,5 to 10 Year,Ready To Move,1050,Goregaon Mumbai,215,19.1692623,72.8552548,2529.411765
JP Decks ,Goregaon East Mumbai,2.05 Crore,15891,Super Built Up Area,2,2,8,1 to 5 Year,Ready To Move,1290,Goregaon Mumbai,205,19.1692623,72.8552548,2411.764706
Unnamed Property,1402 Thane West Thane Mumbai,3 Crore,20134,Carpet Area,3,3,14,0 to 1 Year,Ready To Move,1490,Thane Thane,300,19.02601135,73.01016708,3529.411765
Godrej Emerald ,Ghodbunder Road Thane Mumbai,1.2 Crore,15789,Carpet Area,2,2,10,0 to 1 Year,Ready To Move,760,Road Thane,120,19.2777851,72.957062,1411.764706
One Hiranandani Park ,Hiranandani Estate Hiranandani Estate Thane Mumbai,1.55 Crore,27728,Carpet Area,2,2,12,1 to 5 Year,Ready To Move,559,Hiranandani-Estate Thane,155,19.2571575,72.9839502,1823.529412
Godrej Emerald ,Ghodbunder Road Thane Mumbai,83 Lac,14821,Carpet Area,2,2,21,0 to 1 Year,Ready To Move,560,Road Thane,83,19.2777851,72.957062,976.4705882
Unnamed Property,Thane West Thane Mumbai,60 Lac,13544,Carpet Area,1,2,15,0 to 1 Year,Ready To Move,443,Thane Thane,60,19.03160615,73.0142513,705.8823529
Bhakti Park ,Sai Nagar Thane Mumbai,55 Lac,8527,Super Built Up Area,1,1,2,5 to 10 Year,Ready To Move,645,Nagar Thane,55,19.2095118,73.0138437,647.0588235
Unnamed Property,2202 Thane West Thane Mumbai,3.1 Crore,20805,Carpet Area,3,3,22,0 to 1 Year,Ready To Move,1490,Thane Thane,310,19.03160615,73.0142513,3647.058824
Unnamed Property,Thane West Thane Mumbai,2.5 Crore,18656,Carpet Area,3,3,10,0 to 1 Year,Ready To Move,1340,Thane Thane,250,19.03160615,73.0142513,2941.176471
Unnamed Property,Belapur Navi Mumbai Mumbai,2.5 Crore,11363,Super Built Up Area,4,4,11,5 to 10 Year,Ready To Move,2200,Belapur Navi-Mumbai,250,19.0051696,73.02828535,2941.176471
Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,60 Lac,10909,Built Up Area,1,1,2,10+ Year,Ready To Move,550,Airoli Navi-Mumbai,60,19.1608677,72.9953728,705.8823529
Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,78 Lac,12480,Built Up Area,1,1,3,10+ Year,Ready To Move,625,Airoli Navi-Mumbai,78,19.1608677,72.9953728,917.6470588
Space India Vishesh Homes ,111 Kamothe Navi Mumbai Mumbai,48.5 Lac,7578,Super Built Up Area,1,1,4,5 to 10 Year,Ready To Move,640,Kamothe Navi-Mumbai,48.5,19.0173837,73.0954838,570.5882353
Hiranandani Rodas Enclave ,Hiranandani Estate Hiranandani Estate Thane Mumbai,3.3 Crore,24408,Carpet Area,3,3,15,1 to 5 Year,Ready To Move,1352,Hiranandani-Estate Thane,330,19.2571575,72.9839502,3882.352941
Reliable Balaji Shrishti ,Kalamboli Navi Mumbai Mumbai,84 Lac,7706,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,1090,Kalamboli Navi-Mumbai,84,19.0392786,73.0992311,988.2352941
Ronak Residency ,Roadpali Navi Mumbai Mumbai,70 Lac,7113,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,984,Roadpali Navi-Mumbai,70,19.0392786,73.0992311,823.5294118
Hiranandani Eagleridge ,Hiranandani Estate Hiranandani Estate Thane Mumbai,3.09 Crore,28270,Carpet Area,3,3,23,0 to 1 Year,Ready To Move,1093,Hiranandani-Estate Thane,309,19.2571575,72.9839502,3635.294118
Unnamed Property,101 Kamothe Navi Mumbai Mumbai,70.1 Lac,6676,Super Built Up Area,2,2,4,5 to 10 Year,Ready To Move,1050,Kamothe Navi-Mumbai,70.1,19.0173837,73.0954838,824.7058824
Yash Heights ,Ulwe Navi Mumbai Mumbai,90 Lac,11984,Carpet Area,2,2,6,1 to 5 Year,Ready To Move,751,Ulwe Navi-Mumbai,90,18.97686135,73.02013111,1058.823529
JHV Hira Laxmi Heights ,Ulwe Navi Mumbai Mumbai,96 Lac,9917,Super Built Up Area,2,2,13,1 to 5 Year,Ready To Move,968,Ulwe Navi-Mumbai,96,18.97686135,73.02013111,1129.411765
JHV Hira Laxmi Heights ,Ulwe Navi Mumbai Mumbai,95 Lac,8920,Super Built Up Area,2,2,13,1 to 5 Year,Ready To Move,1065,Ulwe Navi-Mumbai,95,18.97686135,73.02013111,1117.647059
Neelkanth Heights ,Ghansoli Navi Mumbai Mumbai,2.1 Crore,13249,Super Built Up Area,3,3,17,1 to 5 Year,Ready To Move,1585,Ghansoli Navi-Mumbai,210,19.1193307,72.9995096,2470.588235
B and M Atlantis ,Ghansoli Navi Mumbai Mumbai,1.65 Crore,23571,Carpet Area,2,2,11,1 to 5 Year,Ready To Move,700,Ghansoli Navi-Mumbai,165,19.1193307,72.9995096,1941.176471
Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,1.6 Crore,14035,Super Built Up Area,2,2,13,5 to 10 Year,Ready To Move,1140,Ghansoli Navi-Mumbai,160,19.1229321,72.99130752,1882.352941
Lodha Casa Bella Gold ,Dombivli East Thane Mumbai,72 Lac,10227,Carpet Area,3,2,4,5 to 10 Year,Ready To Move,704,Dombivli Thane,72,19.2111814,73.091129,847.0588235
Lodha Casa Bella Gold ,Dombivli East Thane Mumbai,32 Lac,7111,Carpet Area,1,1,1,5 to 10 Year,Ready To Move,450,Dombivli Thane,32,19.2111814,73.091129,376.4705882
Regency Heights ,0000 Thane West Thane Mumbai,1.6 Crore,19607,Carpet Area,2,2,4,5 to 10 Year,Ready To Move,816,Thane Thane,160,19.03160615,73.0142513,1882.352941
Regency Heights ,Thane West Thane Mumbai,2 Crore,19627,Carpet Area,3,3,8,5 to 10 Year,Ready To Move,1019,Thane Thane,200,19.03160615,73.0142513,2352.941176
Blue Bell ,Dahisar East Mumbai,1.05 Crore,21875,Carpet Area,2,2,2,5 to 10 Year,Ready To Move,480,Dahisar Mumbai,105,19.2486925,72.8640593,1235.294118
Unnamed Property,Dahisar West Mumbai,64.5 Lac,21500,Carpet Area,1,1,2,5 to 10 Year,Ready To Move,300,Dahisar Mumbai,64.5,19.0648226,72.8373616,758.8235294
Unnamed Property,Dahisar West Mumbai,78 Lac,21369,Carpet Area,1,1,3,5 to 10 Year,Ready To Move,365,Dahisar Mumbai,78,19.0648226,72.8373616,917.6470588
Unnamed Property,Mhatre Wadi Mumbai,1.29 Crore,23409,Carpet Area,2,2,2,5 to 10 Year,Ready To Move,550,Mhatre Wadi,129,19.1497086,73.0552936,1517.647059
Unnamed Property,Dahisar West Mumbai,1.2 Crore,21818,Carpet Area,2,2,4,5 to 10 Year,Ready To Move,550,Dahisar Mumbai,120,19.0648226,72.8373616,1411.764706
Regency Anantam ,Dombivli East Thane Mumbai,88 Lac,11311,Carpet Area,2,2,23,1 to 5 Year,Ready To Move,778,Dombivli Thane,88,19.2111814,73.091129,1035.294118
Unnamed Property,Dombivli East Thane Mumbai,65 Lac,12380,Carpet Area,1,1,2,0 to 1 Year,Ready To Move,525,Dombivli Thane,65,19.2111814,73.091129,764.7058824
Unnamed Property,Dombivli East Thane Mumbai,80 Lac,11940,Carpet Area,2,2,2,0 to 1 Year,Ready To Move,670,Dombivli Thane,80,19.2111814,73.091129,941.1764706
Unnamed Property,Dombivli East Thane Mumbai,1.05 Crore,12068,Carpet Area,2,2,2,0 to 1 Year,Ready To Move,870,Dombivli Thane,105,19.2111814,73.091129,1235.294118
Unnamed Property,Dombivli East Thane Mumbai,1.15 Crore,16428,Carpet Area,2,2,3,1 to 5 Year,Ready To Move,700,Dombivli Thane,115,19.2111814,73.091129,1352.941176
Unnamed Property,Dombivli East Thane Mumbai,1.02 Crore,13600,Carpet Area,2,2,1,1 to 5 Year,Ready To Move,750,Dombivli Thane,102,19.2111814,73.091129,1200
Lodha Casa Bella ,Dombivli East Thane Mumbai,43 Lac,7439,Carpet Area,2,2,2,5 to 10 Year,Ready To Move,578,Dombivli Thane,43,19.2111814,73.091129,505.8823529
Lodha Casa Bella Gold ,Dombivli East Thane Mumbai,34 Lac,7555,Carpet Area,1,1,1,5 to 10 Year,Ready To Move,450,Dombivli Thane,34,19.2111814,73.091129,400
Lodha Casa Bella Gold ,Dombivli East Thane Mumbai,49 Lac,7777,Carpet Area,2,2,17,5 to 10 Year,Ready To Move,630,Dombivli Thane,49,19.2111814,73.091129,576.4705882
Lodha Casa Bella Gold ,Dombivli East Thane Mumbai,34 Lac,5811,Super Built Up Area,1,1,3,5 to 10 Year,Ready To Move,585,Dombivli Thane,34,19.2111814,73.091129,400
Unnamed Property,Dombivli East Thane Mumbai,45 Lac,9574,Carpet Area,1,1,1,5 to 10 Year,Ready To Move,470,Dombivli Thane,45,19.2111814,73.091129,529.4117647
Unnamed Property,Dombivli East Thane Mumbai,50 Lac,10638,Carpet Area,1,1,3,1 to 5 Year,Ready To Move,470,Dombivli Thane,50,19.2111814,73.091129,588.2352941
Unnamed Property,Dombivli East Thane Mumbai,37 Lac,8604,Carpet Area,1,1,3,5 to 10 Year,Ready To Move,430,Dombivli Thane,37,19.2111814,73.091129,435.2941176
Unnamed Property,Dombivli East Thane Mumbai,50 Lac,10000,Carpet Area,1,1,2,5 to 10 Year,Ready To Move,500,Dombivli Thane,50,19.2111814,73.091129,588.2352941
Unnamed Property,Dombivli East Thane Mumbai,50 Lac,9615,Carpet Area,2,2,4,5 to 10 Year,Ready To Move,520,Dombivli Thane,50,19.2111814,73.091129,588.2352941
Dosti Vihar ,Samata Nagar Thane Mumbai,81.25 Lac,19345,Carpet Area,1,2,7,1 to 5 Year,Ready To Move,420,Nagar Thane,81.2,19.0945731,73.0055706,955.2941176
Dosti Vihar ,Samata Nagar Thane Mumbai,1.5 Crore,16722,Carpet Area,3,2,2,1 to 5 Year,Ready To Move,900,Nagar Thane,150,19.0945731,73.0055706,1764.705882
Fortune Springs ,1002 Kharghar Navi Mumbai Mumbai,65 Lac,9848,Carpet Area,1,2,11,1 to 5 Year,Ready To Move,660,Kharghar Navi-Mumbai,65,19.0433404,73.0663401,764.7058824
Satyam Imperial Heights ,Ghansoli Navi Mumbai Mumbai,5.59 Crore,24304,Carpet Area,4,4,34,1 to 5 Year,Ready To Move,2300,Ghansoli Navi-Mumbai,559,19.1193307,72.9995096,6576.470588
Unnamed Property,Sector 10 Kamothe Navi Mumbai Mumbai,90 Lac,7758,Built Up Area,2,2,12,10+ Year,Ready To Move,1160,Kamothe Navi-Mumbai,90,19.0173837,73.0954838,1058.823529
Cosmos Park ,kavesar Thane Mumbai,1.05 Crore,9677,Super Built Up Area,3,3,5,5 to 10 Year,Ready To Move,1085,Kavesar Thane,105,19.2623339,72.9722476,1235.294118
Orovia Phase 1 ,0000 Hiranandani Estate Thane Mumbai,1.6 Crore,11851,Carpet Area,3,2,12,0 to 1 Year,Ready To Move,1350,Hiranandani-Estate Thane,160,19.2570093,72.9839263,1882.352941
Unnamed Property,001 Andheri West Mumbai,4.25 Crore,38636,Carpet Area,3,3,15,10+ Year,Ready To Move,1100,Andheri Mumbai,425,19.1172495,72.833968,5000
Oberoi Springs ,001 Andheri West Mumbai,10.5 Crore,61764,Carpet Area,6,4,28,5 to 10 Year,Ready To Move,1700,Andheri Mumbai,1050,19.1172495,72.833968,12352.94118
Unnamed Property,001 Lokhandwala Andheri West Mumbai,3.8 Crore,34545,Carpet Area,3,3,3,10+ Year,Ready To Move,1100,Lokhandwala Andheri,380,19.1318689,72.8257451,4470.588235
Simran Sapphire ,0000 Kharghar Navi Mumbai Mumbai,1.12 Crore,9739,Super Built Up Area,2,2,9,5 to 10 Year,Ready To Move,1150,Kharghar Navi-Mumbai,112,19.0433404,73.0663401,1317.647059
Neelsidhi Anexo ,Ghansoli Navi Mumbai Mumbai,1.01 Crore,23059,Carpet Area,1,2,9,0 to 1 Year,Ready To Move,438,Ghansoli Navi-Mumbai,101,19.1193307,72.9995096,1188.235294
Vijay Orion ,kavesar Thane Mumbai,3.8 Crore,17272,Carpet Area,4,4,15,1 to 5 Year,Ready To Move,2200,Kavesar Thane,380,19.2623339,72.9722476,4470.588235
Unnamed Property,Waghbil Thane Mumbai,1.3 Crore,19431,Carpet Area,2,2,26,5 to 10 Year,Ready To Move,669,Waghbil Thane,130,19.2659668,72.9847705,1529.411765
Dedhia El Canto ,Dongripada Thane Mumbai,1.25 Crore,17361,Carpet Area,2,2,12,1 to 5 Year,Ready To Move,720,Dongripada Thane,125,19.2505867,72.9732015,1470.588235
Vijay Enclave ,Vijay Nagari Thane Mumbai,1.4 Crore,11764,Carpet Area,3,3,8,10+ Year,Ready To Move,1190,Nagari Thane,140,19.2548072,72.97469706,1647.058824
Vijay Galaxy ,506 Vijay Nagari Thane Mumbai,1.08 Crore,16927,Carpet Area,2,2,5,1 to 5 Year,Ready To Move,638,Nagari Thane,108,19.2548072,72.97469706,1270.588235
Paradise Sai World City ,2000 Panvel Navi Mumbai Mumbai,2.9 Crore,9385,Super Built Up Area,4,4,20,0 to 1 Year,Ready To Move,3090,Panvel Navi-Mumbai,290,19.0298386,73.0308805,3411.764706
RS Exotica ,500 Kharghar Navi Mumbai Mumbai,1.15 Crore,10454,Super Built Up Area,2,2,5,0 to 1 Year,Ready To Move,1100,Kharghar Navi-Mumbai,115,19.0433404,73.0663401,1352.941176
Piramal Vaikunth ,Balkum Thane Mumbai,3 Crore,21897,Carpet Area,3,3,7,0 to 1 Year,Ready To Move,1370,Balkum Thane,300,19.22169075,72.98449242,3529.411765
Ashar Edge ,Pokhran 2 Thane Mumbai,2.8 Crore,18867,Super Built Up Area,3,3,30,0 to 1 Year,Ready To Move,1484,Pokhran Thane,280,19.2209997,72.96302047,3294.117647
Ashar Edge ,Pokhran 2 Thane Mumbai,1.1 Crore,16081,Super Built Up Area,1,2,30,0 to 1 Year,Ready To Move,684,Pokhran Thane,110,19.2209997,72.96302047,1294.117647
Ashar Edge ,Pokhran 2 Thane Mumbai,1.65 Crore,17116,Super Built Up Area,2,2,30,0 to 1 Year,Ready To Move,964,Pokhran Thane,165,19.2209997,72.96302047,1941.176471
Ashar Edge ,Pokhran 2 Thane Mumbai,1.59 Crore,21870,Carpet Area,2,2,30,0 to 1 Year,Ready To Move,727,Pokhran Thane,159,19.2209997,72.96302047,1870.588235
Runwal Dahlia ,0000 Balkum Thane Mumbai,2.1 Crore,17887,Carpet Area,3,3,25,1 to 5 Year,Ready To Move,1174,Balkum Thane,210,19.2257758,72.9877406,2470.588235
Bredco Viceroy Court ,701 Kandivali East Mumbai,1.95 Crore,19696,Super Built Up Area,2,2,8,10+ Year,Ready To Move,990,Kandivali Mumbai,195,19.2103809,72.8640837,2294.117647
Bhoomi Elegant ,Kandivali East Mumbai,92 Lac,15081,Super Built Up Area,1,2,3,5 to 10 Year,Ready To Move,610,Kandivali Mumbai,92,19.2103809,72.8640837,1082.352941
Bhoomi Elegant ,Kandivali East Mumbai,89 Lac,14590,Super Built Up Area,1,2,4,5 to 10 Year,Ready To Move,610,Kandivali Mumbai,89,19.2103809,72.8640837,1047.058824
Bhoomi Elegant ,Kandivali East Mumbai,1.5 Crore,14925,Super Built Up Area,2,2,2,5 to 10 Year,Ready To Move,1005,Kandivali Mumbai,150,19.2103809,72.8640837,1764.705882
Abhiyanta CHS ,203 Sanpada Navi Mumbai Mumbai,70 Lac,18666,Carpet Area,1,1,4,10+ Year,Ready To Move,375,Sanpada Navi-Mumbai,70,19.0607337,73.0116775,823.5294118
Paradise Sai Solitaire ,1001 Kharghar Navi Mumbai Mumbai,1.75 Crore,11666,Super Built Up Area,3,3,10,5 to 10 Year,Ready To Move,1500,Kharghar Navi-Mumbai,175,19.0433404,73.0663401,2058.823529
Raikar Sujata Empress ,1001 Kharghar Navi Mumbai Mumbai,80 Lac,7407,Super Built Up Area,2,2,10,1 to 5 Year,Ready To Move,1080,Kharghar Navi-Mumbai,80,19.0433404,73.0663401,941.1764706
Unnamed Property,Kharghar Navi Mumbai Mumbai,1.22 Crore,11090,Super Built Up Area,2,2,11,10+ Year,Ready To Move,1100,Kharghar Navi-Mumbai,122,19.025773,73.05918453,1435.294118
Raunak Paradise ,Pokhran 2 Thane Mumbai,1.2 Crore,12060,Super Built Up Area,2,2,10,1 to 5 Year,Ready To Move,995,Pokhran Thane,120,19.2209997,72.96302047,1411.764706
Hiranandani The Walk ,0000 Hiranandani Estate Thane Mumbai,98 Lac,15806,Built Up Area,1,2,12,1 to 5 Year,Ready To Move,620,Hiranandani-Estate Thane,98,19.2570093,72.9839263,1152.941176
Payal CHS ,Asha Nagar Mumbai,95 Lac,22619,Carpet Area,1,1,3,10+ Year,Ready To Move,420,Asha Nagar,95,19.21171635,72.86469911,1117.647059
Unnamed Property,Sector 26 Vashi Navi Mumbai Mumbai,1.2 Crore,11428,Built Up Area,2,2,1,10+ Year,Ready To Move,1050,Vashi Navi-Mumbai,120,19.0692829,73.0010786,1411.764706
Unnamed Property,Sector 29 Vashi Navi Mumbai Mumbai,90 Lac,13846,Built Up Area,2,2,3,10+ Year,Ready To Move,650,Vashi Navi-Mumbai,90,19.0895371,73.005083,1058.823529
Unnamed Property,Sector 12 Vashi Navi Mumbai Mumbai,1.15 Crore,12105,Built Up Area,2,2,1,10+ Year,Ready To Move,950,Vashi Navi-Mumbai,115,19.0877597,73.0039074,1352.941176
B and M Atlantis ,Sector 11 Ghansoli Navi Mumbai Mumbai,1.75 Crore,25000,Carpet Area,2,2,9,1 to 5 Year,Ready To Move,700,Ghansoli Navi-Mumbai,175,19.1190978,72.99261249,2058.823529
Neelsidhi Anexo ,Sector 6 Ghansoli Navi Mumbai Mumbai,97 Lac,13857,Super Built Up Area,1,1,8,0 to 1 Year,Ready To Move,700,Ghansoli Navi-Mumbai,97,19.1212266,73.003099,1141.176471
Unnamed Property,0000 Hiranandani Estate Thane Mumbai,2.15 Crore,18220,Built Up Area,2,2,15,1 to 5 Year,Ready To Move,1180,Hiranandani-Estate Thane,215,19.2570093,72.9839263,2529.411765
Lokhandwala Octacrest ,1602 Lokhandwala Kandivali East Mumbai,1.79 Crore,16574,Super Built Up Area,2,2,16,1 to 5 Year,Ready To Move,1080,Lokhandwala Kandivali,179,19.198814,72.8730296,2105.882353
Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,1.75 Crore,24475,Carpet Area,2,2,21,0 to 1 Year,Ready To Move,715,Ghansoli Navi-Mumbai,175,19.1193307,72.9995096,2058.823529
Aurum Q Residences ,Ghansoli Ghansoli Navi Mumbai Mumbai,1.68 Crore,14545,Super Built Up Area,2,2,21,0 to 1 Year,Ready To Move,1155,Ghansoli Navi-Mumbai,168,19.11637965,73.00699279,1976.470588
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,2.1 Crore,14716,Super Built Up Area,2,2,20,0 to 1 Year,Ready To Move,1427,Ghansoli Navi-Mumbai,210,19.1193307,72.9995096,2470.588235
Unnamed Property,Sector 14 Vashi Navi Mumbai Mumbai,1.8 Crore,17142,Built Up Area,2,2,5,10+ Year,Ready To Move,1050,Vashi Navi-Mumbai,180,19.0822973,73.0002778,2117.647059
Lodha Amara ,Kolshet Road Thane Mumbai,1.55 Crore,12109,Built Up Area,3,3,25,1 to 5 Year,Ready To Move,1280,Road Thane,155,19.2326261,72.9875274,1823.529412
Lodha Amara ,Kolshet Road Thane Mumbai,2 Crore,11904,Built Up Area,4,4,28,1 to 5 Year,Ready To Move,1680,Road Thane,200,19.2326261,72.9875274,2352.941176
Lodha Amara ,Kolshet Road Thane Mumbai,99.5 Lac,8923,Super Built Up Area,2,2,9,1 to 5 Year,Ready To Move,1115,Road Thane,99.5,19.2326261,72.9875274,1170.588235
Lodha Amara ,Kolshet Road Thane Mumbai,69 Lac,10534,Built Up Area,1,2,15,1 to 5 Year,Ready To Move,655,Road Thane,69,19.2326261,72.9875274,811.7647059
Lodha Amara ,110 Kolshet Road Thane Mumbai,84 Lac,11125,Super Built Up Area,2,2,11,1 to 5 Year,Ready To Move,755,Road Thane,84,19.2326261,72.9875274,988.2352941
Unnamed Property,303 Kolshet Road Thane Mumbai,73 Lac,10735,Super Built Up Area,1,2,3,1 to 5 Year,Ready To Move,680,Road Thane,73,19.2326261,72.9875274,858.8235294
Lodha Amara ,2905 Kolshet Road Thane Mumbai,1.55 Crore,12400,Super Built Up Area,3,3,29,1 to 5 Year,Ready To Move,1250,Road Thane,155,19.2326261,72.9875274,1823.529412
Lodha Amara ,1104 Kolshet Road Thane Mumbai,85 Lac,14529,Carpet Area,2,2,11,1 to 5 Year,Ready To Move,585,Road Thane,85,19.2326261,72.9875274,1000
Lodha Amara ,Kolshet Road Thane Mumbai,1 Crore,8968,Super Built Up Area,2,2,18,1 to 5 Year,Ready To Move,1115,Road Thane,100,19.2326261,72.9875274,1176.470588
Lodha Amara ,Kolshet Road Thane Mumbai,70 Lac,9271,Super Built Up Area,1,2,18,1 to 5 Year,Ready To Move,755,Road Thane,70,19.2326261,72.9875274,823.5294118
Lodha Amara ,Kolshet Road Thane Mumbai,73 Lac,11230,Super Built Up Area,1,2,2,1 to 5 Year,Ready To Move,650,Road Thane,73,19.2326261,72.9875274,858.8235294
Lodha Amara ,Kolshet Road Thane Mumbai,99 Lac,8878,Super Built Up Area,2,2,9,1 to 5 Year,Ready To Move,1115,Road Thane,99,19.2326261,72.9875274,1164.705882
Amar Nana Vishnu Heights ,Dombivli Dombivli West Thane Mumbai,65 Lac,8387,Carpet Area,2,2,2,1 to 5 Year,Ready To Move,775,Dombivli Thane,65,19.2180493,73.0861355,764.7058824
Hiranandani The Walk ,Hiranandani Estate Thane Mumbai,86 Lac,13650,Super Built Up Area,1,2,12,1 to 5 Year,Ready To Move,630,Hiranandani-Estate Thane,86,19.2570093,72.9839263,1011.764706
One Hiranandani Park ,Hiranandani Estate Thane Mumbai,6.5 Crore,28889,Carpet Area,4,3,11,1 to 5 Year,Ready To Move,2250,Hiranandani-Estate Thane,650,19.2570093,72.9839263,7647.058824
