Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
Mauli Omkar ,0000 Malad East Mumbai,75 Lac,18750,Carpet Area,1,2,18,0 to 1 Year,Ready To Move,400,Malad Mumbai,75,19.1860219,72.8563181,882.3529412
Unnamed Property,Sher E Punjab Colony Mumbai,1.44 Crore,20869,Carpet Area,2,2,3,10+ Year,Ready To Move,690,Punjab Colony,144,19.1276887,72.8627819,1694.117647
Unnamed Property,Lokhandwala Andheri West Mumbai,2.4 Crore,22429,Carpet Area,3,3,17,10+ Year,Ready To Move,1070,Lokhandwala Andheri,240,19.1312947,72.8246301,2823.529412
Unnamed Property,204 Kalher Thane Mumbai,22 Lac,3893,Built Up Area,1,1,2,5 to 10 Year,Ready To Move,565,Kalher Thane,22,19.2470586,73.0162096,258.8235294
Swastik Sarita ,Sector 10 Sanpada Navi Mumbai Mumbai,75 Lac,18750,Carpet Area,1,2,1,10+ Year,Ready To Move,400,Sanpada Navi-Mumbai,75,19.0692829,73.0010786,882.3529412
Siddhi Highland Gardens ,Dhokali Thane Mumbai,80 Lac,12121,Super Built Up Area,1,2,4,5 to 10 Year,Ready To Move,660,Dhokali Thane,80,19.225128,72.9813793,941.1764706
Lodha Amara ,1205 Kolshet Road Thane Mumbai,75 Lac,14423,Super Built Up Area,1,2,12,1 to 5 Year,Ready To Move,520,Road Thane,75,19.2326261,72.9875274,882.3529412
Lodha Amara ,1002 Kolshet Road Thane Mumbai,1.07 Crore,11567,Super Built Up Area,2,2,10,5 to 10 Year,Ready To Move,925,Road Thane,107,19.2326261,72.9875274,1258.823529
Hiranandani Fortune City ,Panvel Navi Mumbai Mumbai,98 Lac,10828,Carpet Area,2,2,24,1 to 5 Year,Ready To Move,905,Panvel Navi-Mumbai,98,19.0392786,73.0992311,1152.941176
Unnamed Property,Hiranandani Estate Hiranandani Estate Thane Mumbai,1.59 Crore,15915,Built Up Area,2,2,5,5 to 10 Year,Ready To Move,999,Hiranandani-Estate Thane,159,19.2571575,72.9839502,1870.588235
